"","Country","Year","CAB_GDP","Public.Debt_GDP","Economic.result_GDP","Interest_GDP","Primary.balance_GDP","Fiscal.revenue_GDP","Government.spending_GDP","share.of.world.GDP.in.PPP","GDP.per.capita_constant_2017PPP","GDP.per.capita_current_PPP","real.GDP.growth","GDP_current_PPP","national.savings_GDP","Inflation","Population","Investment_GDP","Unemployment.Rate","Real.exports.change","Real.imports.change","total_Natural_Distaster","Binary_ND","Control.of.Corruption.y","Government.Effectiveness.y","Political.Stability.y","Regulatory.Quality.y","l_Primary.balance_GDP","l_Public.Debt_GDP"
"1","Brazil","2000",-4.048,65.561,-4.676,6.698,2.022,31.185,35.861,3.132,11669.35,9103.84,4.388,1581.94,14.855,5.974,173.766,18.903,13.9,12.92,14.735,0,0,NA,NA,NA,NA,NA,NA
"2","Brazil","2001",-4.445,70.054,-2.813,6.397,3.584,33.07,35.884,3.101,11667.5,9307.47,1.39,1640.06,14.297,7.673,176.209,18.742,12.5,8.702,3.027,0,0,NA,NA,NA,NA,2.022,65.561
"3","Brazil","2002",-1.845,78.798,-4.416,1.353,-3.063,34.237,38.653,3.108,11869.49,9616.18,3.053,1716.48,15.604,12.53,178.499,17.449,13,8.471,-11.773,0,0,0.0819423124194145,-0.0346153452992439,0.327800273895264,0.182567074894905,3.584,70.054
"4","Brazil","2003",0.393,73.823,-5.181,8.417,3.236,35.568,40.749,3.021,11858.17,9796.62,1.141,1770.33,17.25,9.3,180.708,16.857,13.7,14.237,-2.674,0,0,0.090239018201828,0.0795872732996941,0.00421393429860473,0.196701481938362,-3.063,78.798
"5","Brazil","2004",1.339,70.077,-2.876,6.565,3.689,35.007,37.883,3.035,12393.26,10513.53,5.76,1922.56,19.251,7.601,182.865,17.913,12.9,16.029,13.783,0,0,-0.0272687114775181,-0.0974992364645004,-0.275992810726166,0.0374141857028008,3.236,73.823
"6","Brazil","2005",1.31,68.585,-3.539,7.284,3.745,36.09,39.628,2.99,12643.12,11061.84,3.202,2046.34,18.515,5.69,184.991,17.205,11.4,10.304,9.31,0,0,-0.153748139739037,-0.161735713481903,-0.263379752635956,0.0369012579321861,3.689,70.077
"7","Brazil","2006",0.973,65.845,-3.57,6.721,3.151,35.507,39.077,2.953,12998.5,11723.71,3.962,2193.06,18.789,3.142,187.062,17.816,11.5,3.758,14.823,0,0,-0.120479896664619,-0.398304134607315,-0.294911116361618,-0.0412733852863312,3.745,68.585
"8","Brazil","2007",-0.197,64.14,-2.737,5.975,3.238,34.808,37.545,2.971,13643.38,12637.88,6.07,2389.04,19.622,4.457,189.038,19.819,10.9,6.156,23.092,0,0,-0.0839887857437134,-0.29958975315094,-0.3579480946064,-0.0228346195071936,3.151,65.845
"9","Brazil","2008",-2.099,62.334,-1.991,5.322,3.331,35.819,37.811,3.032,14190.39,13396.64,5.094,2558.89,19.52,5.902,191.01,21.619,9.4,-1.738,14.845,0,0,0.00343736819922924,-0.157496109604836,-0.313424706459045,0.0770274102687836,3.238,64.14
"10","Brazil","2009",-1.757,65.463,-3.188,5.131,1.943,33.838,37.025,3.041,14027.78,13328,-0.126,2572.05,17.039,4.312,192.981,18.796,9.7,-8.625,-11.875,0,0,-0.079985611140728,-0.158917337656021,0.163664221763611,0.127607271075249,3.331,62.334
"11","Brazil","2010",-3.926,63.045,-2.411,5.028,2.617,37.131,39.541,3.105,14936,14361.5,7.528,2798.93,17.875,5.909,194.891,21.801,8.5,7.173,37.167,0,0,0.0438063591718674,-0.0942155122756958,0.0134759107604623,0.246619865298271,1.943,65.463
"12","Brazil","2011",-3.197,61.204,-2.467,5.408,2.941,36.161,38.628,3.103,15394.3,15109.72,3.974,2970.63,18.629,6.503,196.604,21.826,7.8,2.361,7.313,0,0,0.168382421135902,-0.160819366574287,-0.132575422525406,0.25802206993103,2.617,63.045
"13","Brazil","2012",-3.761,62.196,-2.262,4.442,2.18,36.304,38.566,2.975,15554.68,15120.06,1.921,2998.53,17.656,5.839,198.315,21.417,6.9,1.011,0.513,0,0,-0.0468542315065861,-0.169213905930519,0.0459616407752037,0.173244088888168,2.941,61.204
"14","Brazil","2013",-3.576,60.193,-2.955,4.668,1.713,35.628,38.583,2.964,15886.77,15669.16,3.005,3133.89,18.118,5.911,200.004,21.694,6.3,2.877,7.518,0,0,-0.0976997464895248,-0.126656055450439,-0.258553296327591,0.146290123462677,2.18,62.196
"15","Brazil","2014",-4.499,62.31,-5.951,5.388,-0.563,33.721,39.672,2.906,15831.17,15800.05,0.504,3187.16,16.05,6.408,201.718,20.548,6.6,-0.362,0.058,0,0,-0.365745902061462,-0.181397631764412,-0.070290133357048,-0.0282199531793594,1.713,60.193
"16","Brazil","2015",-3.523,72.573,-10.224,8.369,-1.855,32.898,43.122,2.693,15137.9,14816.27,-3.546,3014.76,13.889,10.673,203.476,17.412,9.1,8.887,-12.793,0,0,-0.433242052793503,-0.232308551669121,-0.33145809173584,-0.164282530546188,-0.563,62.31
"17","Brazil","2016",-1.699,78.286,-8.977,6.492,-2.485,35.35,44.328,2.529,14522.02,14326.07,-3.276,2939.09,13.27,6.288,205.157,14.97,12.2,4.214,-8.721,0,0,-0.422299951314926,-0.221285507082939,-0.377205431461334,-0.179583877325058,-1.855,72.573
"18","Brazil","2017",-1.228,83.632,-7.766,6.087,-1.679,34.926,42.691,2.466,14596.87,14596.87,1.323,3018.71,13.398,2.947,206.805,14.626,11.9,4.785,7.79,0,0,-0.536921918392181,-0.292603075504303,-0.473864614963531,-0.116344913840294,-2.485,78.286
"19","Brazil","2018",-2.858,85.642,-6.96,5.414,-1.546,35.383,42.343,2.424,14736.81,15091.12,1.784,3146.42,12.237,3.745,208.495,15.095,11.7,3.417,7.332,0,0,-0.458420366048813,-0.498852431774139,-0.440423458814621,-0.280460000038147,-1.679,83.632
"20","Brazil","2019",-3.631,87.87,-5.807,4.97,-0.837,36.606,42.414,2.388,14799.44,15427.07,1.221,3241.95,11.886,4.306,210.147,15.517,11.1,-1.674,4.531,0,0,-0.386171013116837,-0.206858992576599,-0.713788211345673,-0.109311006963253,-1.546,85.642
"21","Brazil","2020",-1.911,96.84,-13.318,4.106,-9.212,33.684,47.001,2.382,14205.74,15001.45,-3.277,3176.65,14.205,4.517,211.756,16.116,14.2,-1.334,-8.173,0,0,-0.407126694917679,-0.4376100897789,-0.431489855051041,-0.0972420945763588,-0.837,87.87
"22","Brazil","2021",-2.812,90.722,-4.301,5.039,0.738,36.873,41.173,2.356,14854.61,16391.28,4.989,3484.93,16.613,10.061,212.609,19.425,11.1,2.283,17.367,0,0,-0.477816075086594,-0.46029195189476,-0.485006988048553,-0.110795244574547,-9.212,96.84
"23","Brazil","2022",-2.908,85.906,-4.575,5.915,1.34,38.747,43.322,2.347,15192.45,17938.51,2.901,3837.24,15.235,5.785,213.911,18.143,7.9,11.158,6.615,0,0,NA,NA,NA,NA,0.738,90.722
"24","China","2000",1.695,22.987,-2.846,0.732,-2.114,13.422,16.268,7.242,3430.96,2885.74,8.472,3657.47,35.43,1.903,1267.43,33.735,3.1,26.711,26.444,0,0,NA,NA,NA,NA,NA,NA
"25","China","2001",1.305,24.575,-2.596,0.724,-1.872,14.844,17.44,7.66,3690.64,3174.09,8.319,4050.99,37,-0.471,1276.27,35.694,3.6,11.299,14.346,0,0,NA,NA,NA,NA,-2.114,22.987
"26","China","2002",2.417,25.916,-2.884,0.56,-2.324,15.581,18.464,8.129,4001.13,3494.75,9.115,4489.11,38.686,-0.41,1284.53,36.27,4,24.968,22.351,0,0,-0.557897567749023,-0.123097203671932,-0.327627182006836,-0.582765877246857,-1.872,24.575
"27","China","2003",2.598,26.8,-2.394,0.703,-1.691,15.834,18.228,8.595,4375.73,3897.38,10.021,5036.46,42.298,3.264,1292.27,39.7,4.3,31.441,32.631,0,0,-0.395265489816666,-0.163367792963982,-0.56535792350769,-0.392048835754395,-2.324,25.916
"28","China","2004",3.536,26.393,-1.512,0.471,-1.041,16.359,17.871,8.99,4790.1,4380.97,10.114,5694.74,45.509,2.409,1299.88,41.973,4.2,26.959,20.74,0,0,-0.565061569213867,-0.125968366861343,-0.39068067073822,-0.346228837966919,-1.691,26.8
"29","China","2005",5.781,26.312,-1.401,0.434,-0.967,16.865,18.267,9.56,5304.32,5003.41,11.389,6542.26,46.054,1.678,1307.56,40.273,4.2,24.338,13.385,0,0,-0.617887735366821,-0.151839032769203,-0.501756608486176,-0.183769479393959,-1.041,26.393
"30","China","2006",8.418,25.568,-1.144,0.444,-0.7,17.195,18.339,10.235,5947.03,5782.76,12.71,7601.32,48.299,2.888,1314.48,39.881,4.1,26.019,17.693,0,0,-0.51888769865036,0.0269359052181244,-0.540030121803284,-0.258387207984924,-0.967,26.312
"31","China","2007",9.933,29.164,0.059,0.389,0.448,18.21,18.151,11.093,6759.28,6750.18,14.247,8918.95,50.354,6.63,1321.29,40.421,4,21.128,14.901,0,0,-0.599234640598297,0.154929846525192,-0.500553727149963,-0.233363419771194,-0.7,25.568
"32","China","2008",9.188,27.159,-0.025,0.411,0.386,22.5,22.525,11.805,7370.11,7501.33,9.592,9961.92,51.613,1.222,1328.02,42.425,4.2,10.836,7.545,0,0,-0.526307642459869,0.153617858886719,-0.49308842420578,-0.21839340031147,0.448,29.164
"33","China","2009",4.78,34.567,-1.751,0.429,-1.322,23.904,25.654,12.972,8027.09,8222.38,9.446,10972.76,50.249,1.632,1334.5,45.469,4.3,-10.56,3.117,0,0,-0.519456624984741,0.0816670209169388,-0.451781332492828,-0.298093944787979,0.386,27.159
"34","China","2010",3.941,33.924,-0.362,0.451,0.089,24.732,25.094,13.624,8836.4,9160.17,10.611,12282.96,50.909,4.53,1340.91,46.968,4.14,28.461,23.094,0,0,-0.570009887218475,0.0791090577840805,-0.65706068277359,-0.320954978466034,-1.322,34.567
"35","China","2011",1.817,33.772,-0.098,0.492,0.394,27.021,27.119,14.349,9621.15,10180.91,9.551,13735.67,48.846,4.096,1349.16,47.029,4.09,10.964,13.422,0,0,-0.514727592468262,0.0708344429731369,-0.602054834365845,-0.259136259555817,0.089,33.924
"36","China","2012",2.522,34.393,-0.302,0.489,0.187,27.857,28.159,15.02,10299.39,11136.87,7.848,15137.46,48.708,2.448,1359.22,46.186,4.09,5.882,6.591,0,0,-0.438275933265686,0.000691474939230829,-0.538782060146332,-0.28433284163475,0.394,33.772
"37","China","2013",1.54,37.035,-0.836,0.512,-0.324,27.728,28.564,15.397,11034.45,11905.09,7.771,16277.36,47.676,2.553,1367.26,46.136,4.05,8.76,10.647,0,0,-0.35578978061676,-0.0197360552847385,-0.543789923191071,-0.331608176231384,0.187,34.393
"38","China","2014",2.243,39.969,-0.683,0.555,-0.128,28.207,28.89,15.685,11770.84,12496.32,7.391,17200.69,47.855,1.553,1376.46,45.612,4.09,4.295,7.774,0,0,-0.337421417236328,0.345973432064056,-0.522584021091461,-0.331334412097931,-0.324,37.035
"39","China","2015",2.637,41.489,-2.544,0.513,-2.031,29.009,31.552,15.974,12535.04,12926.23,7.018,17880.34,45.669,1.675,1383.26,43.033,4.05,-2.156,-0.438,0,0,-0.274102538824081,0.437830150127411,-0.550294637680054,-0.335226595401764,-0.128,39.969
"40","China","2016",1.704,50.701,-3.392,0.68,-2.712,28.924,32.316,16.091,13306.59,13432.04,6.851,18701.7,44.359,2.09,1392.32,42.655,4.02,0.679,4.387,0,0,-0.243200898170471,0.377766102552414,-0.499395042657852,-0.303584039211273,-2.031,41.489
"41","China","2017",1.538,54.951,-3.403,0.756,-2.647,29.232,32.635,16.189,14151.79,14151.79,6.947,19814.06,44.71,1.679,1400.11,43.172,3.9,7.95,7.291,0,0,-0.266227781772614,0.438617289066315,-0.231018081307411,-0.164307102560997,-2.712,50.701
"42","China","2018",0.174,56.659,-4.283,0.808,-3.475,28.993,33.277,16.687,15050.18,15412.02,6.751,21660.21,44.136,1.769,1405.41,43.961,3.8,3.991,7.263,0,0,-0.262216955423355,0.518306255340576,-0.300023287534714,-0.215496301651001,-2.647,54.951
"43","China","2019",0.718,60.404,-6.102,0.852,-5.25,28.051,34.153,17.209,15893,16567.01,5.951,23360.81,43.786,4.46,1410.08,43.068,3.62,0.445,-3.662,0,0,-0.28900557756424,0.563922524452209,-0.256689161062241,-0.288801491260529,-3.475,56.659
"44","China","2020",1.674,70.137,-9.718,0.957000000000001,-8.761,25.685,35.403,18.142,16225.86,17134.72,2.242,24196.27,44.531,0.16,1412.12,42.857,4.24,2.61,-0.404,0,0,-0.0469113029539585,0.67731511592865,-0.329402893781662,-0.185245841741562,-5.25,60.404
"45","China","2021",1.787,71.836,-6.045,0.912,-5.133,26.641,32.686,18.538,17590.9,19410.64,8.45,27419.47,45.076,1.391,1412.6,43.289,3.96,17.375,8.91,0,0,0.0536937415599823,0.840674877166748,-0.481860131025314,-0.313303291797638,-8.761,70.137
"46","China","2022",2.307,77.097,-7.544,0.931999999999999,-6.612,25.537,33.081,18.48,18117.15,21391.85,2.988,30216.99,46.182,1.806,1412.55,43.875,4.2,-1.265,-4.127,0,0,NA,NA,NA,NA,-5.133,71.836
"47","India","2000",-0.559,73.649,-8.264,4.19,-4.074,17.372,25.636,4.009,2353.82,1910.8,3.975,2024.75,23.703,2.934,1059.63,24.263,NA,11.398,2.189,0,0,NA,NA,NA,NA,NA,NA
"48","India","2001",0.688,78.73,-10.843,4.507,-6.336,16.946,27.788,4.108,2425.93,2013.7,4.944,2172.73,24.932,5.101,1078.97,24.244,NA,2.413,-0.893,0,0,NA,NA,NA,NA,-4.074,73.649
"49","India","2002",1.211,82.851,-10.881,4.76,-6.121,17.732,28.613,4.152,2476.33,2087.58,3.907,2292.81,25.961,3.783,1098.31,24.75,NA,17.719,12.442,0,0,-0.555382490158081,-0.189068421721458,-1.21066498756409,-0.381400048732758,-6.336,78.73
"50","India","2003",2.277,84.403,-11.231,4.845,-6.386,18.195,29.426,4.307,2627.36,2258.61,7.944,2523.8,29.109,3.989,1117.42,26.831,NA,16.24,8.525,0,0,-0.456320524215698,-0.147016540169716,-1.50999701023102,-0.381630450487137,-6.121,82.851
"51","India","2004",-0.342,83.427,-9.062,4.921,-4.141,18.897,27.959,4.412,2786.57,2459.78,7.849,2794.96,32.476,4.233,1136.27,32.818,NA,27.035,35.839,0,0,-0.448476195335388,-0.183868795633316,-1.28043293952942,-0.378129839897156,-6.386,84.403
"52","India","2005",-1.187,81.012,-7.368,4.923,-2.445,19.062,26.431,4.603,2996.83,2728.34,9.285,3150.25,33.463,4.882,1154.64,34.65,NA,17.903,16.645,0,0,-0.363160848617554,-0.102668456733227,-1.01388049125671,-0.291889518499374,-4.141,83.427
"53","India","2006",-1.008,77.214,-6.321,4.849,-1.472,20.338,26.659,4.778,3224.93,3026.6,9.264,3548.31,34.651,7.001,1172.37,35.659,NA,15.956,11.5,0,0,-0.274562805891037,-0.0995687916874886,-1.06518423557281,-0.283315151929855,-2.445,81.012
"54","India","2007",-1.27,74.117,-4.505,4.765,0.26,21.962,26.467,4.977,3489.47,3363.37,9.801,4001.38,36.843,6.283,1189.69,38.114,NA,18.476,18.803,0,0,-0.397690296173096,0.136385813355446,-1.15429580211639,-0.313716232776642,-1.472,77.214
"55","India","2008",-2.28,72.837,-8.982,4.662,-4.32,19.708,28.69,5.021,3574.04,3510.95,3.891,4236.79,32.025,9.36,1206.74,34.305,NA,7.13,3.501,0,0,-0.33909797668457,-0.0127020869404078,-1.10970735549927,-0.41364324092865,0.26,74.117
"56","India","2009",-2.815,71.518,-9.534,4.569,-4.965,18.518,28.052,5.468,3823.55,3780.13,8.48,4625.52,33.665,10.538,1223.64,36.48,NA,-5.505,6.68,0,0,-0.452406287193298,-0.00608160439878702,-1.35554790496826,-0.349533259868622,-4.32,72.837
"57","India","2010",-2.802,66.4,-8.626,4.216,-4.41,18.821,27.447,5.725,4158.17,4160.36,10.26,5161.39,33.701,9.166,1240.61,36.502,NA,27.25,16.207,0,0,-0.463754564523697,0.0291320476680994,-1.27798449993134,-0.41047203540802,-4.965,71.518
