Year,State,GOS,Concantenate,GDP,UR,ineq,GDP_Growth_Rate,Ugrowth,Inequality_Growth,l_rgdp,l_rgdp_diff,l_ur,l_ur_diff,l_ineq,l_ineq_diff
2006,Alabama,0,Alabama2006,187270.75,4,2.67295082,2.156950368,-11.11111111,0.235655737,12.14031071,0.01561367,1.386294361,-0.117783036,0.983183038,0.002353785
2007,Alabama,0,Alabama2007,189002.525,4,2.698,0.448753344,0,0.937135836,12.14951565,0.009204944,1.386294361,0,0.992510758,0.00932772
2008,Alabama,0,Alabama2008,186946.65,5.7,2.584615385,0.83137604,42.5,-4.20254318,12.13857856,-0.010937093,1.740466175,0.354171814,0.94957671,-0.042934048
2009,Alabama,0,Alabama2009,180707.15,11,2.688976378,-4.690000048,92.98245614,4.037776514,12.10463304,-0.033945517,2.397895273,0.657429098,0.989160593,0.039583883
2010,Alabama,0,Alabama2010,184702.4,10.5,2.738724096,0.668507032,-4.545454545,1.850061548,12.12650116,0.021868116,2.351375257,-0.046520016,1.007492154,0.018331561
2011,Alabama,0,Alabama2011,187605.825,9.6,2.668016194,2.462533795,-8.571428571,-2.581782594,12.14209837,0.015597205,2.261763098,-0.089612159,0.981335198,-0.026156956
2012,Alabama,0,Alabama2012,189245.5,8,2.7508,2.334921748,-16.66666667,3.102822471,12.15080039,0.008702028,2.079441542,-0.182321557,1.011891778,0.030556581
2013,Alabama,0,Alabama2013,191369.8,7.2,2.664,0.960712888,-10,-3.155445689,12.16196296,0.011162568,1.974081026,-0.105360516,0.979828753,-0.032063026
2014,Alabama,0,Alabama2014,189886.325,6.8,2.656,-2.285625551,-5.555555556,-0.3003003,12.15418088,-0.007782078,1.916922612,-0.057158414,0.976821232,-0.003007521
2015,Alabama,0,Alabama2015,191335.225,6.1,2.661538462,1.259135814,-10.29411765,0.208526431,12.16178227,0.007601391,1.808288771,-0.108633841,0.978904325,0.002083093
2016,Alabama,0,Alabama2016,194283.8,5.8,2.62962963,1.703193514,-4.918032787,-1.198886751,12.17707526,0.015292982,1.757857918,-0.050430854,0.966843011,-0.012061314
2017,Alabama,0,Alabama2017,197566.625,4.4,2.528571429,1.881803673,-24.13793103,-3.843058347,12.19383115,0.016755893,1.481604541,-0.276253377,0.927654491,-0.03918852
2018,Alabama,0,Alabama2018,200800.9,3.9,2.442906574,1.783868184,-11.36363636,-3.387875621,12.21006915,0.016238001,1.360976553,-0.120627988,0.893188549,-0.034465941
2019,Alabama,0,Alabama2019,203383.9,3.2,2.5,0.986136266,-17.94871795,2.337110498,12.22285061,0.012781456,1.16315081,-0.197825743,0.916290732,0.023102183
2020,Alabama,0,Alabama2020,196906.075,5.9,2.538461538,-0.080106373,84.375,1.53846152,12.19048212,-0.032368488,1.774952351,0.611801541,0.931558204,0.015267472
2006,Alaska,0,Alaska2006,49190.175,6.6,2.466176471,4.8045316,-4.347826087,-50.93957902,10.80344919,0.074535877,1.887069649,-0.044451763,0.902668964,-0.712117566
2007,Alaska,0,Alaska2007,51720.95,6.3,2.465373961,8.529017923,-4.545454545,-0.032540656,10.8536182,0.050169013,1.840549633,-0.046520016,0.902343504,-0.00032546
2008,Alaska,0,Alaska2008,51252.075,6.7,2.617571059,-2.917205088,6.349206349,6.173387908,10.84451138,-0.009106817,1.902107526,0.061557893,0.962246811,0.059903307
2009,Alaska,0,Alaska2009,56215.125,7.7,2.528030303,15.36729891,14.92537313,-3.420757411,10.93694113,0.092429744,2.041220329,0.139112802,0.927440463,-0.034806348
