Year,State,GOS,Concantenate,GDP,UR,ineq,GDP Growth Rate,Ugrowth,Inequality Growth Rate,l_rgdp,l_rgdp_diff,l_ur,l_ur_diff,l_ineq,l_ineq_diff
2006,Alabama,0,Alabama2006,187270.75,4,2.67295082,2.15695037,-11.111111,0.23565574,12.1403107,0.01561367,1.38629436,-0.117783,0.98318304,0.00235379
2007,Alabama,0,Alabama2007,189002.525,4,2.698,0.44875334,0,0.93713584,12.1495157,0.00920494,1.38629436,0,0.99251076,0.00932772
2008,Alabama,0,Alabama2008,186946.65,5.7,2.58461539,0.83137604,42.5,-4.2025432,12.1385786,-0.0109371,1.74046617,0.35417181,0.94957671,-0.042934
2009,Alabama,0,Alabama2009,180707.15,11,2.68897638,-4.69,92.9824561,4.03777651,12.104633,-0.0339455,2.39789527,0.6574291,0.98916059,0.03958388
2010,Alabama,0,Alabama2010,184702.4,10.5,2.7387241,0.66850703,-4.5454545,1.85006155,12.1265012,0.02186812,2.35137526,-0.04652,1.00749215,0.01833156
2011,Alabama,0,Alabama2011,187605.825,9.6,2.66801619,2.4625338,-8.5714286,-2.5817826,12.1420984,0.01559721,2.2617631,-0.0896122,0.9813352,-0.026157
2012,Alabama,0,Alabama2012,189245.5,8,2.7508,2.33492175,-16.666667,3.10282247,12.1508004,0.00870203,2.07944154,-0.1823216,1.01189178,0.03055658
2013,Alabama,0,Alabama2013,191369.8,7.2,2.664,0.96071289,-10,-3.1554457,12.161963,0.01116257,1.97408103,-0.1053605,0.97982875,-0.032063
2014,Alabama,0,Alabama2014,189886.325,6.8,2.656,-2.2856256,-5.5555556,-0.3003003,12.1541809,-0.0077821,1.91692261,-0.0571584,0.97682123,-0.0030075
2015,Alabama,0,Alabama2015,191335.225,6.1,2.66153846,1.25913581,-10.294118,0.20852643,12.1617823,0.00760139,1.80828877,-0.1086338,0.97890432,0.00208309
2016,Alabama,0,Alabama2016,194283.8,5.8,2.62962963,1.70319351,-4.9180328,-1.1988868,12.1770753,0.01529298,1.75785792,-0.0504309,0.96684301,-0.0120613
2017,Alabama,0,Alabama2017,197566.625,4.4,2.52857143,1.88180367,-24.137931,-3.8430583,12.1938311,0.01675589,1.48160454,-0.2762534,0.92765449,-0.0391885
2006,Alaska,0,Alaska2006,49190.175,6.6,2.46617647,4.8045316,-4.3478261,-50.939579,10.8034492,0.07453588,1.88706965,-0.0444518,0.90266896,-0.7121176
2007,Alaska,0,Alaska2007,51720.95,6.3,2.46537396,8.52901792,-4.5454545,-0.0325407,10.8536182,0.05016901,1.84054963,-0.04652,0.9023435,-0.0003255
2008,Alaska,0,Alaska2008,51252.075,6.7,2.61757106,-2.9172051,6.34920635,6.17338791,10.8445114,-0.0091068,1.90210753,0.06155789,0.96224681,0.05990331
2009,Alaska,0,Alaska2009,56215.125,7.7,2.5280303,15.3672989,14.9253731,-3.4207574,10.9369411,0.09242974,2.04122033,0.1391128,0.92744046,-0.0348063
2010,Alaska,0,Alaska2010,54601.5,7.9,2.69733656,-7.0767429,2.5974026,6.69716098,10.9078166,-0.0291245,2.06686276,0.02564243,0.99226483,0.06482436
2011,Alaska,0,Alaska2011,55280.35,7.6,2.48668281,-0.1275265,-3.7974684,-7.8096948,10.9201728,0.01235616,2.02814825,-0.0387145,0.91094962,-0.0813152
2012,Alaska,0,Alaska2012,58283.65,7.1,2.79353234,8.00229916,-6.5789474,12.3397133,10.9730769,0.0529041,1.96009478,-0.0680535,1.02730687,0.11635725
2013,Alaska,0,Alaska2013,55354.3,7,2.5625,-1.5870677,-1.4084507,-8.2702582,10.9215096,-0.0515673,1.94591015,-0.0141846,0.94098334,-0.0863235
2014,Alaska,1,Alaska2014,54188.225,6.9,2.53460621,-5.2647989,-1.4285714,-1.0885383,10.9002189,-0.0212907,1.93152141,-0.0143887,0.93003828,-0.0109451
2015,Alaska,1,Alaska2015,54740.85,6.5,2.72463768,2.65876049,-5.7971014,7.49747537,10.9103655,0.0101466,1.87180218,-0.0597192,1.00233546,0.07229718
2016,Alaska,1,Alaska2016,54246.625,6.9,2.62008734,-0.2633552,6.15384615,-3.8372201,10.9012961,-0.0090695,1.93152141,0.05971923,0.96320765,-0.0391278
2017,Alaska,1,Alaska2017,54129.525,7,2.61555556,-2.0835301,1.44927536,-0.1729629,10.8991351,-0.002161,1.94591015,0.01438874,0.96147652,-0.0017311
2006,Arizona,1,Arizona2006,274179.425,4.2,3.00333333,5.74057369,-10.638298,-8.3231583,12.521538,0.04419482,1.43508453,-0.112478,1.09972278,-0.0869004
2007,Arizona,1,Arizona2007,283250.75,3.9,3.16,2.95737615,-7.1428571,5.21642621,12.5540878,0.03254982,1.36097655,-0.074108,1.15057203,0.05084924
2008,Arizona,1,Arizona2008,280810.05,6.2,3.27974277,2.17972636,58.974359,3.78932801,12.5454337,-0.0086541,1.82454929,0.46357274,1.18776499,0.03719297
2009,Arizona,0,Arizona2009,257498.475,9.9,3.28666667,-8.2639143,59.6774194,0.21111113,12.4587691,-0.0866647,2.29253476,0.46798547,1.18987388,0.00210889
2010,Arizona,0,Arizona2010,260307.125,10.4,3.05517241,-2.584016,5.05050505,-7.0434357,12.4696175,0.01084839,2.34180581,0.04927105,1.11683603,-0.0730379
2011,Arizona,0,Arizona2011,266101.525,9.5,3.05357143,3.38021508,-8.6538462,-0.0524024,12.4916332,0.02201573,2.2512918,-0.090514,1.11631187,-0.0005242
2012,Arizona,0,Arizona2012,271440.025,8.3,2.96551724,2.77494658,-12.631579,-2.8836459,12.5114965,0.0198633,2.11625551,-0.1350363,1.08705147,-0.0292604
2013,Arizona,0,Arizona2013,273481.875,7.7,2.98275862,0.63031033,-7.2289157,0.58139537,12.5189906,0.00749414,2.04122033,-0.0750352,1.09284858,0.00579712
2014,Arizona,0,Arizona2014,276948.95,6.8,2.80333333,1.03908364,-11.688312,-6.0154143,12.5315885,0.01259784,1.91692261,-0.1242977,1.03080919,-0.0620394
2015,Arizona,0,Arizona2015,282576.975,6.1,2.76,2.08213243,-10.294118,-1.5457788,12.5517063,0.0201178,1.80828877,-0.1086338,1.01523068,-0.0155785
2016,Arizona,0,Arizona2016,291275.225,5.4,2.81,2.03322775,-11.47541,1.8115942,12.5820239,0.03031762,1.68639895,-0.1218898,1.03318448,0.0179538
2017,Arizona,0,Arizona2017,302455.375,4.9,2.746875,3.90686996,-9.2592593,-2.2464413,12.619689,0.03766514,1.58923521,-0.0971637,1.0104639,-0.0227206
2006,Arkansas,0,Arkansas2006,108460.575,5.2,2.57084429,3.27537674,0,1.07592931,11.594142,0.02313682,1.64865863,0,0.94423436,0.01070182
2007,Arkansas,1,Arkansas2007,107606.1,5.3,2.64583333,-2.4285439,1.92307692,2.91690338,11.5862326,-0.0079094,1.66770682,0.01904819,0.97298608,0.02875171
2008,Arkansas,1,Arkansas2008,106536.475,5.5,2.49593496,0.96524438,3.77358491,-5.6654504,11.5762427,-0.0099899,1.70474809,0.03704127,0.91466339,-0.0583227
2009,Arkansas,1,Arkansas2009,102996.6,7.8,2.64,-1.0569413,41.8181818,5.77198699,11.5424513,-0.0337914,2.05412373,0.34937564,0.97077892,0.05611553
2010,Arkansas,1,Arkansas2010,105662.025,8.2,2.6475,-2.4663841,5.12820513,0.28409091,11.5680008,0.02554958,2.10413415,0.05001042,0.9736158,0.00283688
2011,Arkansas,1,Arkansas2011,107932.55,8.3,2.69166667,4.08892711,1.2195122,1.66824049,11.5892618,0.02126094,2.11625551,0.01212136,0.99016058,0.01654478
2012,Arkansas,1,Arkansas2012,108492.05,7.6,2.6112,1.9227462,-8.4337349,-2.9894737,11.5944322,0.0051704,2.02814825,-0.0881073,0.95980989,-0.0303507
2013,Arkansas,1,Arkansas2013,110752.4,7.2,2.64,1.36304448,-5.2631579,1.10294118,11.6150524,0.02062018,1.97408103,-0.0540672,0.97077892,0.01096903
2014,Arkansas,1,Arkansas2014,111734.5,6,2.6,0.3515584,-16.666667,-1.5151515,11.6238808,0.00882844,1.79175947,-0.1823216,0.95551145,-0.0152675
2015,Arkansas,0,Arkansas2015,112350.975,5,2.72030651,0.5931936,-16.666667,4.62717358,11.629383,0.00550216,1.60943791,-0.1823216,1.00074456,0.04523312
2016,Arkansas,0,Arkansas2016,112798.125,4,2.6037037,0.7539679,-20,-4.286385,11.633355,0.00397204,1.38629436,-0.2231436,0.95693493,-0.0438096
2017,Arkansas,0,Arkansas2017,113885.15,3.7,2.5,0.75152792,-7.5,-3.9829303,11.6429458,0.00959077,1.30833282,-0.0779615,0.91629073,-0.0406442
2006,California,0,California2006,2002437.43,4.9,3.58258558,5.40556958,-9.2592593,-12.151158,14.5098757,0.03848272,1.58923521,-0.0971637,1.27608477,-0.1295526
2007,California,0,California2007,2041192.18,5.4,3.36466165,0.56189567,10.2040816,-6.0828672,14.5290446,0.01916889,1.68639895,0.09716375,1.21332741,-0.0627574
2008,California,0,California2008,2061638.78,7.3,3.3875,1.90332542,35.1851852,0.67877095,14.5390117,0.00996715,1.98787435,0.30147539,1.22009219,0.00676478
2009,California,0,California2009,1995439.68,11.2,3.53870968,-1.6635878,53.4246575,4.4637543,14.506375,-0.0326368,2.41591378,0.42803943,1.26376216,0.04366998
2010,California,0,California2010,2036015.05,12.2,3.22333333,0.02718454,8.92857143,-8.9121847,14.526505,0.02013008,2.50143595,0.08552217,1.17041602,-0.0933461
2011,California,1,California2011,2063827.5,11.7,3.35640138,2.42181879,-4.0983607,4.12827459,14.5400728,0.01356778,2.45958884,-0.0418471,1.21086938,0.04045336
2012,California,1,California2012,2113096.45,10.4,3.26666667,1.63504772,-11.111111,-2.6735395,14.5636649,0.02359212,2.34180581,-0.117783,1.1837701,-0.0270993
2013,California,1,California2013,2179228.98,8.9,3.39666667,1.97730255,-14.423077,3.97959184,14.5944817,0.03081675,2.18605128,-0.1557545,1.22279456,0.03902446
2014,California,1,California2014,2256054.73,7.5,3.38666667,3.60673191,-15.730337,-0.2944063,14.6291281,0.03464646,2.01490302,-0.1711483,1.21984615,-0.0029484
2015,California,1,California2015,2357452.93,6.2,3.29478827,5.23096152,-17.333333,-2.7129447,14.6730923,0.04396418,1.82454929,-0.1903537,1.19234191,-0.0275042
2016,California,1,California2016,2427894.58,5.5,3.30434783,3.20561593,-11.290323,0.29014162,14.702535,0.02944268,1.70474809,-0.1198012,1.19523912,0.00289722
