Year,State,GOS_old,GOS,GOS_R,Non-Crisis Year,Concantenate,Merged,Income_inequality_merged,Income_inequality,GDP_merged,GDP,UR_merged,UR,Ugrowth,u growth dummy,X.change.in.real.GDP_merged,pcrgdp,ineq_merged,ineq,lrgdp,lii,GDP_Growth,_dummy,income_difference_in%_merged,inc_diff,perchg_inc_ineq,inc diff log
2006,Alabama,0,0,1,1,Alabama2006,Alabama2006,28834,28834,187270.75,187270.75,4,4,-11.11111111,,0.475,0.475,2.67295082,2.67295082,12.14031071,0.983183038,2.156950368,,838.3033419,838.3033419,0.235655737,
2007,Alabama,0,0,1,1,Alabama2007,Alabama2007,30198,30198,189002.525,189002.525,4,4,0,,0.85,0.85,2.698,2.698,12.14951565,0.992510758,0.448753344,,832.7160494,832.7160494,0.937135836,
2008,Alabama,0,0,1,0,Alabama2008,Alabama2008,32000,32000,186946.65,186946.65,5.7,5.7,42.5,,-4.575,-4.575,2.584615385,2.584615385,12.13857856,0.94957671,0.83137604,,763.6363636,763.6363636,-4.20254318,
2009,Alabama,0,0,1,1,Alabama2009,Alabama2009,30696,30696,180707.15,180707.15,11,11,92.98245614,,0.65,0.65,2.688976378,2.688976378,12.10463304,0.989160593,-4.690000048,,822.8915663,822.8915663,4.037776514,
2010,Alabama,0,0,1,1,Alabama2010,Alabama2010,29477,29477,184702.4,184702.4,10.5,10.5,-4.545454545,,2.525,2.525,2.738724096,2.738724096,12.12650116,1.007492154,0.668507032,,832.0987654,832.0987654,1.850061548,
2011,Alabama,0,0,1,1,Alabama2011,Alabama2011,32579.25,32579.25,187605.825,187605.825,9.6,9.6,-8.571428571,,2.375,2.375,2.668016194,2.668016194,12.14209837,0.981335198,2.462533795,,813.5802469,813.5802469,-2.581782594,
2012,Alabama,0,0,1,1,Alabama2012,Alabama2012,33500,33500,189245.5,189245.5,8,8,-16.66666667,,1.075,1.075,2.7508,2.7508,12.15080039,1.011891778,2.334921748,,818.6904762,818.6904762,3.102822471,
2013,Alabama,0,0,1,1,Alabama2013,Alabama2013,33000,33000,191369.8,191369.8,7.2,7.2,-10,,-2.275,-2.275,2.664,2.664,12.16196296,0.979828753,0.960712888,,792.8571429,792.8571429,-3.155445689,
2014,Alabama,0,0,1,1,Alabama2014,Alabama2014,32664,32664,189886.325,189886.325,6.8,6.8,-5.555555556,,1.3,1.3,2.656,2.656,12.15418088,0.976821232,-2.285625551,,772.0930233,772.0930233,-0.3003003,
2015,Alabama,0,0,1,1,Alabama2015,Alabama2015,35682.25,35682.25,191335.225,191335.225,6.1,6.1,-10.29411765,,1.7,1.7,2.661538462,2.661538462,12.16178227,0.978904325,1.259135814,,786.3636364,786.3636364,0.208526431,
2016,Alabama,0,0,1,1,Alabama2016,Alabama2016,37366,37366,194283.8,194283.8,5.8,5.8,-4.918032787,,1.875,1.875,2.62962963,2.62962963,12.17707526,0.966843011,1.703193514,,788.8888889,788.8888889,-1.198886751,
